arch,hazard_cost,num_steps,run_idx,seed,flag_type,flag_coord,flag_id,flag_set_step,confirming_observations,disconfirming_observations,last_confirmation_step,last_observation_step,transformed_at_step,derived_knowledge_flag_id,derived_from_threat_flag_id
v1_10,1.0,320000,1,16689821,mastery,att_free_3,mastery:att_free_3,538,2,0,542,542,,,
v1_10,1.0,320000,1,16689821,mastery,att_green,mastery:att_green,4341,8,0,4349,4349,,,
v1_10,1.0,320000,1,16689821,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,15618,0,0,,15618,,,
v1_10,1.0,320000,1,16689821,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,15627,1,0,15629,15629,,,
v1_10,1.0,320000,1,16689821,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,15628,0,0,,15628,,,
v1_10,1.0,320000,1,16689821,mastery,att_free_0,mastery:att_free_0,15636,6,0,15642,15642,,,
v1_10,1.0,320000,2,1783566838,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_10,1.0,320000,2,1783566838,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,523,0,0,,523,,,
v1_10,1.0,320000,2,1783566838,mastery,att_free_3,mastery:att_free_3,527,6,0,533,533,,,
v1_10,1.0,320000,2,1783566838,mastery,att_free_2,mastery:att_free_2,546,16,0,562,562,,,
v1_10,1.0,320000,2,1783566838,mastery,att_yellow,mastery:att_yellow,570,55,0,625,625,,,
v1_10,1.0,320000,2,1783566838,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,11417,0,0,,11417,,,
v1_10,1.0,320000,2,1783566838,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,11422,0,0,,11422,,,
v1_10,1.0,320000,2,1783566838,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,11425,6,0,11431,11431,,,
v1_10,1.0,320000,3,1303621320,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_10,1.0,320000,3,1303621320,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,522,17,0,296865,296865,,,
v1_10,1.0,320000,3,1303621320,mastery,att_free_2,mastery:att_free_2,21934,8,0,21942,21942,,,
v1_10,1.0,320000,3,1303621320,mastery,att_green,mastery:att_green,21948,27,0,21975,21975,,,
v1_10,1.0,320000,3,1303621320,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,24769,0,0,,24769,,,
v1_10,1.0,320000,3,1303621320,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,24772,10,0,24782,24782,,,
v1_10,1.0,320000,3,1303621320,knowledge_banking,haz_green,knowledge_banking:haz_green,24887,0,0,,24887,,,
v1_10,1.0,320000,4,923014689,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_10,1.0,320000,4,923014689,mastery,att_yellow,mastery:att_yellow,522,7,0,529,529,,,
v1_10,1.0,320000,4,923014689,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,536,10,0,149679,149679,,,
v1_10,1.0,320000,4,923014689,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,153947,0,0,,153947,,,
v1_10,1.0,320000,4,923014689,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,153951,0,0,,153951,,,
v1_10,1.0,320000,4,923014689,mastery,att_free_0,mastery:att_free_0,153956,4,0,153960,153960,,,
v1_10,1.0,320000,4,923014689,mastery,att_free_2,mastery:att_free_2,153969,20,0,153989,153989,,,
v1_10,1.0,320000,4,923014689,mastery,att_green,mastery:att_green,153995,89,0,316535,316535,,,
v1_10,1.0,320000,5,542408058,mastery,att_yellow,mastery:att_yellow,1075,2,0,248769,248769,,,
v1_10,1.0,320000,5,542408058,mastery,att_free_2,mastery:att_free_2,5372,0,0,,5372,,,
v1_10,1.0,320000,5,542408058,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,5547,6,0,265154,265154,,,
v1_10,1.0,320000,5,542408058,mastery,att_free_3,mastery:att_free_3,5551,11,0,5564,5564,,,
v1_10,1.0,320000,5,542408058,mastery,att_free_0,mastery:att_free_0,19599,0,0,,19599,,,
v1_10,1.0,320000,5,542408058,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,19604,0,0,,19604,,,
v1_10,1.0,320000,5,542408058,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,19608,0,0,,19608,,,
v1_10,1.0,320000,5,542408058,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,19611,42,0,19653,19653,,,
v1_10,1.0,320000,6,62462540,mastery,att_free_1,mastery:att_free_1,519,3,0,71898,71898,,,
v1_10,1.0,320000,6,62462540,mastery,att_yellow,mastery:att_yellow,523,9,0,39476,39476,,,
v1_10,1.0,320000,6,62462540,mastery,att_free_0,mastery:att_free_0,536,0,0,,536,,,
v1_10,1.0,320000,6,62462540,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,541,0,0,,541,,,
v1_10,1.0,320000,6,62462540,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,545,0,0,,545,,,
v1_10,1.0,320000,6,62462540,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,551,3,0,554,554,,,
v1_10,1.0,320000,6,62462540,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,579,16,0,315086,315086,,,
v1_10,1.0,320000,6,62462540,mastery,att_free_2,mastery:att_free_2,21577,30,0,21607,21607,,,
v1_10,1.0,320000,7,1829339557,mastery,att_free_1,mastery:att_free_1,518,1,0,298975,298975,,,
v1_10,1.0,320000,7,1829339557,mastery,att_yellow,mastery:att_yellow,523,4688,0,310147,310147,,,
v1_10,1.0,320000,7,1829339557,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,547,24,0,318037,318037,,,
v1_10,1.0,320000,7,1829339557,mastery,att_free_2,mastery:att_free_2,15400,21,0,15421,15421,,,
v1_10,1.0,320000,7,1829339557,mastery,att_green,mastery:att_green,15428,7,0,15435,15435,,,
v1_10,1.0,320000,7,1829339557,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,15456,0,0,,15456,,,
v1_10,1.0,320000,7,1829339557,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,15461,0,0,,15461,,,
v1_10,1.0,320000,7,1829339557,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,15467,10,0,15477,15477,,,
v1_10,1.0,320000,7,1829339557,knowledge_banking,haz_green,knowledge_banking:haz_green,15550,0,0,,15550,,,
v1_10,1.0,320000,7,1829339557,mastery,att_free_0,mastery:att_free_0,297222,2,0,297224,297224,,,
v1_10,1.0,320000,7,1829339557,end_state_activation,,end_state_activation,297222,22777,0,319999,319999,,,
v1_10,1.0,320000,7,1829339557,end_state_banking,att_free_3,end_state_banking:att_free_3,310155,3909,0,319999,319999,,,
v1_10,1.0,320000,7,1829339557,environment_complete,,environment_complete:end_state,310155,12933,0,,310155,,,
v1_10,1.0,320000,8,1349394039,mastery,att_free_1,mastery:att_free_1,518,19,0,318185,318185,,,
v1_10,1.0,320000,8,1349394039,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,522,0,0,,522,,,
v1_10,1.0,320000,8,1349394039,mastery,att_free_3,mastery:att_free_3,526,10,0,536,536,,,
v1_10,1.0,320000,8,1349394039,mastery,att_green,mastery:att_green,555,0,0,,555,,,
v1_10,1.0,320000,8,1349394039,mastery,att_yellow,mastery:att_yellow,22983,207,0,317253,317253,,,
v1_10,1.0,320000,8,1349394039,mastery,att_free_0,mastery:att_free_0,23003,0,0,,23003,,,
v1_10,1.0,320000,8,1349394039,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,23009,0,0,,23009,,,
