arch,hazard_cost,num_steps,run_idx,seed,tier_structure_similarity,form_progression_parallelism,traversal_sequence_distance,green_traversal_complete,yellow_traversal_complete,both_complete,green_first,traversal_interleaving,cross_family_comparison_complete
arch,hazard_cost,num_steps,run_idx,seed,tier_structure_similarity,form_progression_parallelism,traversal_sequence_distance,green_traversal_complete,yellow_traversal_complete,both_complete,green_first,traversal_interleaving,cross_family_comparison_complete
v1_5,10.0,80000,3,118747043,0.6666666666666666,1.0,0.858662,True,False,False,True,yellow_then_green,False
v1_5,10.0,80000,4,1786285173,0.0,1.0,0.727212,True,True,True,True,interleaved,True
v1_5,10.0,80000,5,1405678542,0.0,1.0,0.706235,True,True,True,True,interleaved,True
v1_5,10.0,80000,6,925733024,0.0,1.0,0.738082,True,True,True,True,interleaved,True
v1_5,10.0,80000,7,545126393,0.6666666666666666,1.0,0.89845,True,False,False,True,yellow_then_green,False
v1_5,10.0,80000,8,65180875,0.0,1.0,0.758147,True,True,True,True,interleaved,True
v1_5,10.0,80000,9,1832057892,0.0,1.0,0.71125,True,True,True,True,interleaved,True
v1_5,0.1,160000,0,202358875,0.0,1.0,0.706971,True,True,True,True,interleaved,True
v1_5,0.1,160000,1,1869897005,0.0,1.0,0.74519,True,True,True,True,interleaved,True
v1_5,0.1,160000,2,1489290374,0.0,1.0,0.715016,True,True,True,True,interleaved,True
v1_5,0.1,160000,3,1108683743,0.0,1.0,0.750585,True,True,True,False,interleaved,True
v1_5,0.1,160000,4,628738225,0.0,1.0,0.720091,True,True,True,False,interleaved,True
v1_5,0.1,160000,5,248131594,0.0,1.0,0.718782,True,True,True,True,interleaved,True
v1_5,0.1,160000,6,1915669724,0.0,1.0,0.709311,True,True,True,True,interleaved,True
v1_5,0.1,160000,7,1535063093,0.0,1.0,0.708607,True,True,True,True,interleaved,True
v1_5,0.1,160000,8,1154456462,0.0,1.0,0.704999,True,True,True,True,interleaved,True
v1_5,0.1,160000,9,674510944,0.0,1.0,0.709217,True,True,True,False,interleaved,True
v1_5,0.5,160000,0,749409430,0.0,1.0,0.703981,True,True,True,True,interleaved,True
v1_5,0.5,160000,1,269463912,0.0,1.0,0.724025,True,True,True,True,interleaved,True
v1_5,0.5,160000,2,2036340929,0.0,1.0,0.706547,True,True,True,True,interleaved,True
v1_5,0.5,160000,3,1655734298,0.0,1.0,0.704041,True,True,True,True,interleaved,True
v1_5,0.5,160000,4,1175788780,0.0,1.0,0.710067,True,True,True,True,interleaved,True
v1_5,0.5,160000,5,795182149,0.0,1.0,0.724792,True,True,True,True,interleaved,True
v1_5,0.5,160000,6,315236631,0.0,1.0,0.752715,True,True,True,True,interleaved,True
v1_5,0.5,160000,7,2082113648,0.0,1.0,0.711751,True,True,True,True,interleaved,True
v1_5,0.5,160000,8,1602168130,0.0,1.0,0.718286,True,True,True,False,interleaved,True
v1_5,0.5,160000,9,1221561499,0.0,1.0,0.715007,True,True,True,True,interleaved,True
v1_5,1.0,160000,0,496635339,0.0,1.0,0.757356,True,True,True,True,interleaved,True
v1_5,1.0,160000,1,16689821,0.0,1.0,0.808397,True,True,True,True,interleaved,True
v1_5,1.0,160000,2,1783566838,0.0,1.0,0.751526,True,True,True,True,interleaved,True
v1_5,1.0,160000,3,1303621320,0.0,1.0,0.753961,True,True,True,True,interleaved,True
v1_5,1.0,160000,4,923014689,0.0,1.0,0.748422,True,True,True,True,interleaved,True
v1_5,1.0,160000,5,542408058,0.0,1.0,0.764006,True,True,True,False,interleaved,True
v1_5,1.0,160000,6,62462540,0.0,1.0,0.703957,True,True,True,True,interleaved,True
v1_5,1.0,160000,7,1829339557,0.0,1.0,0.704307,True,True,True,True,interleaved,True
v1_5,1.0,160000,8,1349394039,0.0,1.0,0.704176,True,True,True,True,interleaved,True
v1_5,1.0,160000,9,968787408,0.0,1.0,0.703039,True,True,True,True,interleaved,True
v1_5,2.0,160000,0,271697600,0.6666666666666666,1.0,0.894615,True,False,False,True,yellow_then_green,False
v1_5,2.0,160000,1,1939235730,0.0,1.0,0.727779,True,True,True,True,interleaved,True
v1_5,2.0,160000,2,1558629099,0.0,1.0,0.72321,True,True,True,True,interleaved,True
v1_5,2.0,160000,3,1178022468,0.0,1.0,0.707679,True,True,True,True,interleaved,True
v1_5,2.0,160000,4,698076950,0.0,1.0,0.708631,True,True,True,True,interleaved,True
v1_5,2.0,160000,5,317470319,0.0,1.0,0.700701,True,True,True,True,interleaved,True
v1_5,2.0,160000,6,1985008449,0.0,1.0,0.786936,True,True,True,False,interleaved,True
v1_5,2.0,160000,7,1604401818,0.0,1.0,0.710821,True,True,True,True,interleaved,True
v1_5,2.0,160000,8,1124456300,0.0,1.0,0.7722,True,True,True,True,interleaved,True
v1_5,2.0,160000,9,743849669,0.0,1.0,0.716622,True,True,True,True,interleaved,True
v1_5,5.0,160000,0,853186608,0.0,1.0,0.704001,True,True,True,True,interleaved,True
v1_5,5.0,160000,1,472579977,0.0,1.0,0.703151,True,True,True,True,interleaved,True
v1_5,5.0,160000,2,2140118107,0.0,1.0,0.72014,True,True,True,True,interleaved,True
v1_5,5.0,160000,3,1759511476,0.0,1.0,0.723479,True,True,True,True,interleaved,True
v1_5,5.0,160000,4,1378904845,0.6666666666666666,1.0,0.896726,False,True,False,False,interleaved,False
v1_5,5.0,160000,5,898959327,0.0,1.0,0.707696,True,True,True,True,interleaved,True
v1_5,5.0,160000,6,518352696,0.0,1.0,0.705787,True,True,True,True,interleaved,True
v1_5,5.0,160000,7,38407178,0.0,1.0,0.795612,True,True,True,True,interleaved,True
v1_5,5.0,160000,8,1805284195,0.0,1.0,0.707739,True,True,True,True,interleaved,True
v1_5,5.0,160000,9,1325338677,0.0,1.0,0.72427,True,True,True,True,interleaved,True
v1_5,10.0,160000,0,565380326,0.0,1.0,0.71465,True,True,True,True,interleaved,True
v1_5,10.0,160000,1,184773695,0.0,1.0,0.7303,True,True,True,True,interleaved,True
v1_5,10.0,160000,2,1852311825,0.0,1.0,0.706314,True,True,True,True,interleaved,True
v1_5,10.0,160000,3,1471705194,0.0,1.0,0.709079,True,True,True,True,interleaved,True
v1_5,10.0,160000,4,1091098563,0.0,1.0,0.725747,True,True,True,False,interleaved,True
v1_5,10.0,160000,5,611153045,0.3333333333333333,1.0,0.842954,True,False,False,True,interleaved,False
v1_5,10.0,160000,6,230546414,0.0,1.0,0.719129,True,True,True,True,interleaved,True
v1_5,10.0,160000,7,1898084544,0.0,1.0,0.700781,True,True,True,True,interleaved,True
v1_5,10.0,160000,8,1517477913,0.0,1.0,0.716675,True,True,True,True,interleaved,True
v1_5,10.0,160000,9,1037532395,0.0,1.0,0.714077,True,True,True,False,interleaved,True
v1_5,0.1,320000,0,202358875,0.0,1.0,0.703486,True,True,True,True,interleaved,True
