hazard_mode,hazard_cost,p3_concentration,p3_attractor_ratio,p2_attractor_ratio,mastered_count,top_on_attractor,top_near_attractor,top_attractor,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,hazard_entries_total,total_cost_incurred,rule_violated_total,rule_violated_p3,frame_attempts_total,hazard_attempts_total
cost_no_aversion,5.0,135.535125,22.589187499999998,17.901433998914502,50,3,5,"(16, 3)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,5.0,112.84625,19.40583333333333,9.121575684863027,86,4,5,"(16, 3)",0,12,0,12,60.0,1,0,0,0
cost_no_aversion,5.0,38.35975,9.370624999999999,5.280672436941183,91,3,3,"(11, 5)",0,0,6,6,30.0,1,1,0,0
cost_no_aversion,5.0,52.276125,9.623166666666666,6.032450652726597,96,4,4,"(4, 15)",0,13,0,13,65.0,1,0,0,0
cost_no_aversion,10.0,146.66025,24.443375,22.343759819464676,27,1,3,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,10.0,113.125375,18.854229166666666,16.36598394606793,49,1,3,"(4, 15)",0,41,0,41,410.0,1,0,0,0
cost_no_aversion,10.0,138.52575000000002,23.1474375,12.465849687205415,76,3,4,"(4, 15)",0,15,0,15,150.0,1,0,0,0
cost_no_aversion,10.0,140.958125,23.320229166666664,10.53400748421744,67,2,3,"(3, 3)",0,2,0,2,20.0,0,0,0,0
cost_no_aversion,10.0,42.2675,11.191583333333332,13.4089896306453,99,4,5,"(15, 16)",0,4,0,4,40.0,1,0,0,0
cost_no_aversion,10.0,58.61625,6.492979166666666,11.053417887851001,85,3,3,"(16, 3)",0,6,0,6,60.0,1,0,0,0
cost_no_aversion,10.0,32.657625,5.815104166666666,3.048118947639044,97,4,4,"(4, 15)",0,7,6,13,130.0,1,1,0,0
cost_no_aversion,10.0,47.889875,7.164208333333334,2.852200988373754,92,2,2,"(11, 5)",0,6,7,13,130.0,1,1,0,0
cost_no_aversion,10.0,32.418375,8.254125,12.716442425800553,93,4,4,"(4, 15)",0,2,3,5,50.0,1,1,0,0
cost_no_aversion,10.0,64.438,15.737333333333332,16.406990030565314,61,3,4,"(16, 3)",0,1,0,1,10.0,0,0,0,0
impassable_no_aversion,0.0,77.11825,19.153291666666668,12.716442425800553,84,5,5,"(4, 15)",0,0,0,0,0.0,0,0,0,0
impassable_no_aversion,0.0,121.897875,21.71858333333333,12.871354300568457,88,4,5,"(16, 3)",0,0,0,0,0.0,0,0,0,122
impassable_no_aversion,0.0,66.072875,13.95625,8.073642414374268,103,4,5,"(15, 16)",0,0,0,0,0.0,0,0,0,6
impassable_no_aversion,0.0,60.291000000000004,9.928875,4.319307567058017,101,4,4,"(16, 3)",0,0,0,0,0.0,0,0,0,186
impassable_no_aversion,0.0,83.617875,2.664979166666667,14.20633016253892,78,4,4,"(3, 3)",0,0,0,0,0.0,0,0,0,51
impassable_no_aversion,0.0,143.47025,21.060645833333332,12.36105636015654,55,3,4,"(15, 16)",0,0,0,0,0.0,0,0,0,810
impassable_no_aversion,0.0,138.446,23.05439583333333,17.88776530408204,47,2,4,"(3, 3)",0,0,0,0,0.0,0,0,0,0
impassable_no_aversion,0.0,122.09725,20.56220833333333,7.918730539606363,86,5,5,"(4, 15)",0,0,0,0,0.0,0,0,0,281
impassable_no_aversion,0.0,37.642,4.871395833333333,10.019153312194703,97,5,5,"(16, 3)",0,0,0,0,0.0,0,0,0,386
impassable_no_aversion,0.0,48.208875,0.37216666666666665,5.344459679492672,81,1,1,"(9, 10)",0,0,0,0,0.0,0,0,0,91
