arch,hazard_cost,num_steps,run_idx,seed,green_colour_cell_coord,green_attractor_coord,green_hazard_coord,green_cell_registered,green_cell_first_perception_step,green_cell_first_perception_mode,green_attractor_mastered,green_attractor_mastery_step,green_attractor_colour,green_attractor_form,green_knowledge_banked,green_knowledge_banked_step,green_knowledge_colour,green_knowledge_form,green_crossref_complete,green_crossref_flag_id,yellow_colour_cell_coord,yellow_attractor_coord,yellow_hazard_coord,yellow_cell_registered,yellow_cell_first_perception_step,yellow_cell_first_perception_mode,yellow_attractor_mastered,yellow_attractor_mastery_step,yellow_attractor_colour,yellow_attractor_form,yellow_knowledge_banked,yellow_knowledge_banked_step,yellow_knowledge_colour,yellow_knowledge_form,yellow_crossref_complete,yellow_crossref_flag_id,family_traversal_narrative
v1_3,2.0,20000,4,1457648744,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,1637,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,False,,YELLOW,TRIANGLE_2D,False,,YELLOW,PYRAMID_3D,False,,84:colour_registered:YELLOW|215:colour_registered:GREEN|342:attractor_mastered:GREEN|1637:knowledge_banked:GREEN
v1_3,2.0,20000,5,977703226,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,False,,GREEN,SPHERE_3D,False,,"(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,3472,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|348:attractor_mastered:GREEN|2832:attractor_mastered:YELLOW|3472:knowledge_banked:YELLOW
v1_3,2.0,20000,6,597096595,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,False,,GREEN,SPHERE_3D,False,,"(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,17440,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|642:attractor_mastered:GREEN|12660:attractor_mastered:YELLOW|17440:knowledge_banked:YELLOW
v1_3,2.0,20000,7,216489964,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,749,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,7006,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|366:attractor_mastered:GREEN|749:knowledge_banked:GREEN|3666:attractor_mastered:YELLOW|7006:knowledge_banked:YELLOW
v1_3,2.0,20000,8,1884028094,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,3615,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,6360,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|344:attractor_mastered:GREEN|3615:knowledge_banked:GREEN|5240:attractor_mastered:YELLOW|6360:knowledge_banked:YELLOW
v1_3,2.0,20000,9,1503421463,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,False,,GREEN,SPHERE_3D,False,,"(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,False,,YELLOW,TRIANGLE_2D,False,,YELLOW,PYRAMID_3D,False,,84:colour_registered:YELLOW|215:colour_registered:GREEN|362:attractor_mastered:GREEN
v1_3,5.0,20000,0,2101982337,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,1347,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,2124,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|676:attractor_mastered:GREEN|1347:knowledge_banked:GREEN|1510:attractor_mastered:YELLOW|2124:knowledge_banked:YELLOW
v1_3,5.0,20000,1,1721375706,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,False,,GREEN,SPHERE_3D,False,,"(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,False,,YELLOW,TRIANGLE_2D,False,,YELLOW,PYRAMID_3D,False,,84:colour_registered:YELLOW|215:colour_registered:GREEN|1102:attractor_mastered:GREEN
v1_3,5.0,20000,2,1241430188,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,14711,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,16246,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|446:attractor_mastered:GREEN|11068:attractor_mastered:YELLOW|14711:knowledge_banked:GREEN|16246:knowledge_banked:YELLOW
v1_3,5.0,20000,3,860823557,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,8517,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,False,,YELLOW,TRIANGLE_2D,False,,YELLOW,PYRAMID_3D,False,,84:colour_registered:YELLOW|215:colour_registered:GREEN|344:attractor_mastered:GREEN|8517:knowledge_banked:GREEN
