i_cost,i_steps,i_run_idx,j_cost,j_steps,j_run_idx,d_order,d_content,d_xref,d_conf,d_composite,same_cell
0.1,20000,0,1.0,20000,2,0.266667,0.571429,1.000000,0.443763,0.570465,0
0.1,20000,0,1.0,20000,3,0.250000,0.384615,1.000000,0.432102,0.516679,0
0.1,20000,0,1.0,20000,4,0.377778,0.333333,1.000000,0.486754,0.549466,0
0.1,20000,0,1.0,20000,5,0.466667,0.230769,1.000000,0.431153,0.532147,0
0.1,20000,0,1.0,20000,6,0.357143,0.428571,1.000000,0.626852,0.603142,0
0.1,20000,0,1.0,20000,7,0.400000,0.230769,1.000000,0.343594,0.493591,0
0.1,20000,0,1.0,20000,8,0.214286,0.384615,1.000000,0.410375,0.502319,0
0.1,20000,0,1.0,20000,9,0.500000,0.714286,1.000000,0.498318,0.678151,0
0.1,20000,0,1.0,80000,0,0.321429,0.428571,1.000000,0.510830,0.565208,0
0.1,20000,0,1.0,80000,1,0.285714,0.428571,1.000000,0.244178,0.489616,0
0.1,20000,0,1.0,80000,2,0.287879,0.200000,1.000000,0.405547,0.473357,0
0.1,20000,0,1.0,80000,3,0.307692,0.071429,0.000000,0.245973,0.156274,0
0.1,20000,0,1.0,80000,4,0.422222,0.230769,0.000000,0.266714,0.229926,0
0.1,20000,0,1.0,80000,5,0.484848,0.142857,1.000000,0.367079,0.498696,0
0.1,20000,0,1.0,80000,6,0.358974,0.071429,0.500000,0.359108,0.322378,0
0.1,20000,0,1.0,80000,7,0.500000,0.200000,1.000000,0.324971,0.506243,0
0.1,20000,0,1.0,80000,8,0.318182,0.142857,1.000000,0.351896,0.453234,0
0.1,20000,0,1.0,80000,9,0.512821,0.133333,0.500000,0.486616,0.408192,0
0.1,20000,0,1.0,160000,0,0.424242,0.142857,1.000000,0.410258,0.494339,0
0.1,20000,0,1.0,160000,1,0.311111,0.375000,1.000000,0.591530,0.569410,0
0.1,20000,0,1.0,160000,2,0.266667,0.285714,1.000000,0.329157,0.470385,0
0.1,20000,0,1.0,160000,3,0.393939,0.250000,1.000000,0.530565,0.543626,0
0.1,20000,0,1.0,160000,4,0.363636,0.200000,1.000000,0.359388,0.480756,0
0.1,20000,0,1.0,160000,5,0.590909,0.200000,1.000000,0.303940,0.523712,0
0.1,20000,0,1.0,160000,6,0.282051,0.071429,0.000000,0.307149,0.165157,0
0.1,20000,0,1.0,160000,7,0.409091,0.142857,1.000000,0.416065,0.492003,0
0.1,20000,0,1.0,160000,8,0.393939,0.200000,1.000000,0.342628,0.484142,0
0.1,20000,0,1.0,160000,9,0.272727,0.142857,1.000000,0.393535,0.452280,0
0.1,20000,0,2.0,20000,0,0.400000,0.538462,1.000000,0.605543,0.636001,0
0.1,20000,0,2.0,20000,1,0.272727,0.076923,1.000000,0.039183,0.347208,0
0.1,20000,0,2.0,20000,2,0.000000,0.615385,1.000000,0.277928,0.473328,0
0.1,20000,0,2.0,20000,3,0.357143,0.384615,1.000000,0.313978,0.513934,0
0.1,20000,0,2.0,20000,4,0.196970,0.250000,1.000000,0.500054,0.486756,0
0.1,20000,0,2.0,20000,5,0.361111,0.357143,0.500000,0.534675,0.438232,0
0.1,20000,0,2.0,20000,6,0.214286,0.384615,1.000000,0.314075,0.478244,0
0.1,20000,0,2.0,20000,7,0.333333,0.357143,1.000000,0.506034,0.549127,0
0.1,20000,0,2.0,20000,8,0.287879,0.076923,1.000000,0.054159,0.354740,0
0.1,20000,0,2.0,20000,9,0.333333,0.769231,1.000000,0.486756,0.647330,0
0.1,20000,0,2.0,80000,0,0.469697,0.200000,1.000000,0.342400,0.503024,0
0.1,20000,0,2.0,80000,1,0.381818,0.214286,0.500000,0.469682,0.391446,0
0.1,20000,0,2.0,80000,2,0.393939,0.142857,1.000000,0.436586,0.493346,0
0.1,20000,0,2.0,80000,3,0.277778,0.357143,1.000000,0.476413,0.527833,0
0.1,20000,0,2.0,80000,4,0.333333,0.142857,1.000000,0.427382,0.475893,0
0.1,20000,0,2.0,80000,5,0.469697,0.250000,1.000000,0.568990,0.572172,0
0.1,20000,0,2.0,80000,6,0.500000,0.142857,1.000000,0.360367,0.500806,0
0.1,20000,0,2.0,80000,7,0.523810,0.461538,1.000000,0.569059,0.638602,0
0.1,20000,0,2.0,80000,8,0.393939,0.076923,1.000000,0.139494,0.402589,0
0.1,20000,0,2.0,80000,9,0.454545,0.142857,1.000000,0.294565,0.472992,0
0.1,20000,0,2.0,160000,0,0.307692,0.133333,0.500000,0.532275,0.368325,0
0.1,20000,0,2.0,160000,1,0.257576,0.200000,1.000000,0.370648,0.457056,0
0.1,20000,0,2.0,160000,2,0.320513,0.071429,0.000000,0.310163,0.175526,0
0.1,20000,0,2.0,160000,3,0.320513,0.071429,0.000000,0.392129,0.196018,0
0.1,20000,0,2.0,160000,4,0.444444,0.285714,1.000000,0.369049,0.524802,0
0.1,20000,0,2.0,160000,5,0.378788,0.142857,1.000000,0.320884,0.460632,0
0.1,20000,0,2.0,160000,6,0.435897,0.235294,0.750000,0.515259,0.484113,0
0.1,20000,0,2.0,160000,7,0.136364,0.142857,1.000000,0.370109,0.412332,0
0.1,20000,0,2.0,160000,8,0.318182,0.200000,1.000000,0.276301,0.448621,0
0.1,20000,0,2.0,160000,9,0.469697,0.142857,1.000000,0.362145,0.493675,0
0.1,20000,0,5.0,20000,0,0.363636,0.142857,1.000000,0.081469,0.396991,0
0.1,20000,0,5.0,20000,1,0.333333,0.769231,1.000000,0.712462,0.703757,0
0.1,20000,0,5.0,20000,2,0.377778,0.230769,1.000000,0.287850,0.474099,0
0.1,20000,0,5.0,20000,3,0.285714,0.461538,1.000000,0.265404,0.503164,0
0.1,20000,0,5.0,20000,4,0.266667,0.571429,1.000000,0.398272,0.559092,0
0.1,20000,0,5.0,20000,5,0.272727,0.142857,1.000000,0.054614,0.367550,0
0.1,20000,0,5.0,20000,6,0.142857,0.500000,0.000000,0.540320,0.295794,0
0.1,20000,0,5.0,20000,7,0.357143,0.428571,1.000000,0.246110,0.507956,0
0.1,20000,0,5.0,20000,8,0.333333,0.142857,1.000000,0.313441,0.447408,0
0.1,20000,0,5.0,20000,9,0.575758,0.200000,1.000000,0.257529,0.508322,0
0.1,20000,0,5.0,80000,0,0.424242,0.142857,1.000000,0.272329,0.459857,0
0.1,20000,0,5.0,80000,1,0.287879,0.142857,1.000000,0.099658,0.382599,0
0.1,20000,0,5.0,80000,2,0.348485,0.200000,1.000000,0.361768,0.477563,0
0.1,20000,0,5.0,80000,3,0.257576,0.250000,1.000000,0.450398,0.489493,0
0.1,20000,0,5.0,80000,4,0.100000,0.642857,1.000000,0.424417,0.541819,0
0.1,20000,0,5.0,80000,5,0.196970,0.142857,1.000000,0.294052,0.408470,0
0.1,20000,0,5.0,80000,6,0.333333,0.357143,0.500000,0.504602,0.423770,0
