arch,run_idx,agent,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,env2_ran,haz_blue_approached,predicted_record_written,transfer_triggered_step,env1_mastery_order_sequence,env1_end_state_banked_step,return_env1_ran,arc_complete,arc_timeout,ineligible_reason,return_step,transformation_step,arc_total_steps,social_corroboration_fired,social_observation_step,zpd_delta
v1_15_3,15,a,5010,1.0,1800000,,600000,,,,2.0,8,3737,"['att_free_0', 'att_free_2', 'att_free_3']",,,False,1219,3737,"['haz_unaff_0', 'haz_unaff_2', 'haz_green', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2']",['haz_unaff_2'],2,0,0,,,2,True,locate_family,GREEN,500000,False,,,False,,,0,1713,509,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2066,1713,0.1709,False,,,1,0,0.0,0,0,True,True,True,579500,"['att_free_2', 'att_yellow', 'att_free_3', 'att_free_0', 'att_green']",,False,False,False,,,,,False,,
v1_15_3,15,b,25010,1.0,1800000,529,600000,,,,2.0,583,12294,"['att_yellow', 'att_free_2', 'att_free_3', 'att_free_0']",,,False,583,583,"['haz_unaff_1', 'haz_yellow']","['haz_unaff_2', 'haz_green', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,,,1,True,locate_family,GREEN,500000,False,,,False,,,0,3012,852,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3573,3012,0.157,False,,,1,0,0.0,0,0,False,True,True,,"['att_yellow', 'att_free_2', 'att_free_3', 'att_free_0']",,False,False,False,,,,,False,,
v1_15_3,16,a,6010,1.0,171879,,,,,,1.0,3,3,['att_free_0'],,,True,532,3,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_green', 'haz_yellow', 'haz_blue']",[],1,0,0,,,1,True,locate_family,YELLOW,500000,True,656,499344,False,,,1,51,18,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",180,51,0.7167,False,,,1,0,0.0,0,0,True,True,True,15000,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,True,True,False,,0,3,15003,True,217,215731
v1_15_3,16,b,26010,1.0,171879,,,,,,1.0,,,[],,,True,556,211,"['haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2', 'haz_green']",[],1,0,0,,,1,True,locate_family,YELLOW,500000,True,551,499449,False,,,1,450,153,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",674,450,0.3323,False,,,1,0,0.0,0,0,True,True,True,157543,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,True,True,False,,0,3,157546,False,,73188
v1_15_3,17,a,7010,1.0,43595,,,,,,1.0,4,4,['att_free_0'],,,True,532,39,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_green', 'haz_green', 'haz_unaff_2', 'haz_unaff_0']",[],1,0,0,,,1,True,bank_hazard_within_budget,haz_green,500000,True,792,499208,False,,,0,12,2,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",124,12,0.9032,False,,,1,0,0.0,0,0,True,True,True,1000,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",,True,True,False,,0,4,1004,False,,229730
v1_15_3,17,b,27010,1.0,43595,,,,,,1.0,3,3,['att_free_0'],,,True,546,3,"['haz_unaff_0', 'haz_unaff_1', 'haz_blue']",[],1,0,0,,,1,True,bank_hazard_within_budget,haz_green,500000,True,792,499208,False,,,0,116,19,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",234,116,0.5043,False,,,1,0,0.0,0,0,True,True,True,43523,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,True,True,False,,0,3,43526,True,37,187208
v1_15_3,18,a,8010,1.0,606906,,,10205,,10205,4.0,5,5,['att_free_0'],,,True,9,5,"['haz_unaff_2', 'haz_green', 'haz_unaff_0', 'haz_unaff_1', 'haz_blue']",[],1,0,0,,,1,True,locate_family,GREEN,500000,True,9126,490874,False,,,1,1722,469,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2107,1722,0.1827,False,,,1,0,0.0,0,0,True,True,True,606808,"['att_free_1', 'att_free_3', 'att_green', 'att_free_0', 'att_yellow']",,True,True,False,,0,5,606813,False,,-376079
v1_15_3,18,b,28010,1.0,606906,,,25354,,25354,4.0,,,[],,,True,532,81021,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_yellow']",[],1,0,0,,,1,True,locate_family,GREEN,500000,True,81061,418939,False,,,1,246,69,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",421,246,0.4157,False,,,1,0,0.0,0,0,True,True,True,81500,"['att_free_1', 'att_free_3', 'att_green', 'att_yellow', 'att_free_0']",,True,True,False,,0,5,81505,True,75,149229
v1_15_3,19,a,9010,1.0,1313590,,,541398,,541398,3.0,,,[],,,False,532,5077,"['haz_unaff_2', 'haz_green']",[],3,0,0,,,3,True,locate_family,YELLOW,500000,False,,,False,,,1,470,119,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",950,470,0.5053,False,,,1,0,0.0,0,0,True,True,True,123896,"['att_free_1', 'att_free_3', 'att_free_2', 'att_green', 'att_yellow']",,False,False,True,,,,,True,85,
v1_15_3,19,b,29010,1.0,1313590,,,,,,1.0,12,12,['att_free_0'],,,True,540,12,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green', 'haz_unaff_0', 'haz_unaff_1', 'haz_blue']",[],1,0,0,,,1,True,locate_family,YELLOW,500000,True,629,499371,False,,,1,1482,373,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1828,1482,0.1893,False,,,1,0,0.0,0,0,True,True,True,513589,"['att_free_1', 'att_free_3', 'att_free_2', 'att_yellow', 'att_green']",,True,True,False,,0,12,513601,False,,-282867
