arch,hazard_cost,num_steps,run_idx,seed,phase_1_end,phase_2_end,frame_attempts_p1,frame_attempts_p2,frame_attempts_p3,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,total_cost,mastered_pairs,top_attractor,top_attractor_pref,phase_3_clean,full_run_clean,hazards_flagged,time_to_first_flag,time_to_second_flag,time_to_final_flag,first_entry_conversions,cost_on_sig_matched,actions_gated_p2,actions_gated_p3,attractors_mastered,time_to_first_mastery,time_to_final_mastery,first_banked,mastery_sequence,post_mastery_visits_total,p3_visits_to_mastered,p3_visits_to_unmastered,end_state_cell,activation_step,end_state_found_step,end_state_visits,end_state_banked,post_activation_window,discovery_time
v0_13,1.0,80000,7,377042519,331,48000,0,0,0,0,10,0,10.0,256,"(3, 3)",0.0,True,False,5,11257,19464,42659,4,4.0,10972,6502,6,708,28973,"(4, 15)","(4, 15)|(11, 5)|(16, 3)|(9, 10)|(15, 16)|(3, 3)",2639,69,0,"(16, 14)",28973,,0,False,51027,
v0_13,1.0,80000,8,2143919536,331,48000,0,0,0,0,7,0,7.0,222,"(3, 3)",0.0,True,False,2,28896,30369,30369,1,1.0,13392,4539,6,478,22525,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(11, 5)|(16, 3)|(3, 3)",2688,63,0,"(1, 7)",22525,22581,1,True,57475,56
v0_13,1.0,80000,9,1663974018,331,48000,0,0,0,0,8,0,8.0,224,"(3, 3)",0.0,True,False,5,2117,5102,19580,4,4.0,14688,30543,5,849,9366,"(11, 5)","(11, 5)|(9, 10)|(3, 3)|(4, 15)|(15, 16)",1439,5,0,"(6, 10)",,,0,False,,
v0_13,2.0,80000,0,966884210,331,48000,0,0,0,0,7,0,14.0,234,"(3, 3)",0.0,True,False,5,909,5408,22149,4,4.0,8920,1710,6,384,6234,"(4, 15)","(4, 15)|(15, 16)|(11, 5)|(16, 3)|(3, 3)|(9, 10)",2147,326,0,"(7, 14)",6234,6264,242,True,73766,30
v0_13,2.0,80000,1,586277579,331,48000,0,0,0,0,7,0,14.0,255,"(3, 3)",0.0,True,False,4,817,1199,2585,3,3.0,17802,15978,6,348,20344,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(16, 3)|(15, 16)|(9, 10)",2701,378,0,"(18, 16)",20344,20727,680,True,59656,383
v0_13,2.0,80000,2,106332061,331,48000,0,0,0,0,6,0,12.0,264,"(3, 3)",0.0,True,False,4,1703,5345,22450,3,3.0,10512,9685,6,444,14555,"(4, 15)","(4, 15)|(15, 16)|(16, 3)|(9, 10)|(11, 5)|(3, 3)",2741,827,0,"(11, 3)",14555,16893,21,True,65445,2338
v0_13,2.0,80000,3,1873209078,331,48000,0,0,0,0,8,0,16.0,218,"(3, 3)",0.0,True,False,5,8741,8784,20974,4,4.0,16565,13759,4,396,20867,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(3, 3)",2316,448,0,"(5, 4)",,,0,False,,
v0_13,2.0,80000,4,1492602447,331,48000,0,0,0,0,8,0,16.0,273,"(3, 3)",0.0,True,False,5,3136,7347,11849,4,4.0,10322,2569,5,366,3239,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(16, 3)|(11, 5)",2176,132,0,"(17, 6)",,,0,False,,
v0_13,2.0,80000,5,1012656929,331,48000,0,0,0,0,7,0,14.0,249,"(3, 3)",0.0,True,False,5,735,1362,40133,4,4.0,9259,1661,6,1707,24944,"(11, 5)","(11, 5)|(16, 3)|(9, 10)|(4, 15)|(3, 3)|(15, 16)",2901,8,0,"(7, 13)",24944,39287,28,True,55056,14343
v0_13,2.0,80000,6,632050298,331,48000,0,0,0,0,5,0,10.0,226,"(3, 3)",0.0,True,False,2,8325,40205,40205,1,1.0,13898,6571,6,624,25684,"(4, 15)","(4, 15)|(3, 3)|(9, 10)|(15, 16)|(11, 5)|(16, 3)",2453,208,0,"(7, 1)",25684,28563,279,True,54316,2879
v0_13,2.0,80000,7,152104780,331,48000,0,0,0,0,8,0,16.0,224,"(3, 3)",0.0,True,False,4,11629,12885,19717,3,3.0,6182,3418,5,1596,19722,"(9, 10)","(9, 10)|(11, 5)|(16, 3)|(3, 3)|(15, 16)",1565,0,0,"(18, 15)",,,0,False,,
v0_13,2.0,80000,8,1918981797,331,48000,0,0,0,0,5,1,12.0,274,"(3, 3)",0.0,True,False,2,29633,59804,59804,1,1.0,10410,3975,6,348,51986,"(4, 15)","(4, 15)|(15, 16)|(11, 5)|(16, 3)|(3, 3)|(9, 10)",4234,2438,0,"(16, 1)",51986,,0,False,28014,
v0_13,2.0,80000,9,1538375166,331,48000,0,0,0,0,9,1,20.0,281,"(3, 3)",0.0,True,False,2,45369,64966,64966,1,1.0,6578,3751,5,434,3854,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(16, 3)|(9, 10)",2451,27,0,"(15, 15)",,,0,False,,
v0_13,5.0,80000,0,842391255,331,48000,0,0,0,0,8,0,40.0,249,"(3, 3)",0.0,True,False,5,9772,9837,25475,4,4.0,7662,2368,6,440,25482,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(16, 3)|(11, 5)|(15, 16)",2726,130,0,"(12, 9)",25482,28250,21,True,54518,2768
v0_13,5.0,80000,1,362445737,331,48000,0,0,0,0,8,0,40.0,232,"(3, 3)",0.0,True,False,5,7103,10084,25043,4,4.0,9290,2840,5,342,5888,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(3, 3)|(15, 16)",2616,52,0,"(14, 16)",,,0,False,,
v0_13,5.0,80000,2,2129322754,331,48000,0,0,0,0,7,0,35.0,239,"(3, 3)",0.0,True,False,5,10969,19012,44963,4,4.0,15518,11139,6,676,41617,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(16, 3)|(3, 3)|(11, 5)",2117,321,0,"(3, 16)",41617,46050,299,True,38383,4433
v0_13,5.0,80000,3,1649377236,331,48000,0,0,0,0,7,0,35.0,250,"(3, 3)",0.0,True,False,4,12957,22850,36271,3,3.0,12521,15451,5,1388,20093,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(16, 3)|(11, 5)",2354,400,0,"(9, 14)",,,0,False,,
v0_13,5.0,80000,4,1268770605,331,48000,0,0,0,0,8,0,40.0,223,"(3, 3)",0.0,True,False,5,7240,9989,32312,4,4.0,6367,331,5,338,8584,"(4, 15)","(4, 15)|(15, 16)|(11, 5)|(9, 10)|(16, 3)",1253,40,0,"(15, 14)",,,0,False,,
v0_13,5.0,80000,5,788825087,331,48000,0,0,0,0,8,0,40.0,252,"(3, 3)",0.0,True,False,4,23062,23339,25513,3,3.0,12196,3370,6,2674,37040,"(4, 15)","(4, 15)|(15, 16)|(16, 3)|(11, 5)|(3, 3)|(9, 10)",1350,34,0,"(4, 2)",37040,,0,False,42960,
v0_13,5.0,80000,6,408218456,331,48000,0,0,0,0,9,0,45.0,234,"(3, 3)",0.0,True,False,5,709,820,9899,4,4.0,13392,16264,6,408,8106,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(9, 10)|(15, 16)|(16, 3)",2492,288,0,"(11, 3)",8106,8145,48,True,71894,39
v0_13,5.0,80000,7,27611825,331,48000,0,0,0,0,9,0,45.0,241,"(3, 3)",0.0,True,False,4,2788,19725,30345,3,3.0,9997,25,5,5285,45774,"(11, 5)","(11, 5)|(16, 3)|(9, 10)|(15, 16)|(4, 15)",2223,383,0,"(14, 15)",,,0,False,,
v0_13,5.0,80000,8,1695149955,331,48000,0,0,0,0,8,0,40.0,234,"(3, 3)",0.0,True,False,5,1726,23840,42679,4,4.0,8997,8121,6,340,10948,"(4, 15)","(4, 15)|(15, 16)|(11, 5)|(16, 3)|(3, 3)|(9, 10)",1979,40,0,"(12, 8)",10948,11005,949,True,69052,57
v0_13,5.0,80000,9,1314543324,331,48000,0,0,0,0,7,0,35.0,227,"(3, 3)",0.0,True,False,5,11732,11739,32713,4,4.0,6900,419,6,828,6771,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)|(3, 3)",3716,0,0,"(14, 18)",6771,11231,261,True,73229,4460
v0_13,10.0,80000,0,1359905823,331,48000,0,0,0,0,6,0,60.0,253,"(3, 3)",0.0,True,False,4,4898,5385,39628,3,3.0,12371,5825,6,842,39727,"(9, 10)","(9, 10)|(4, 15)|(11, 5)|(16, 3)|(15, 16)|(3, 3)",2833,58,0,"(6, 1)",39727,,0,False,40273,
v0_13,10.0,80000,1,879960305,331,48000,0,0,0,0,8,0,80.0,234,"(3, 3)",0.0,True,False,5,10795,14462,37565,4,4.0,12713,14115,6,376,37544,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(16, 3)|(15, 16)",3167,422,0,"(1, 5)",37544,45265,55,True,42456,7721
v0_13,10.0,80000,2,499353674,331,48000,0,0,0,0,4,0,40.0,245,"(3, 3)",0.0,True,False,2,9779,9971,9971,1,1.0,9252,5531,5,1148,55628,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(16, 3)",2771,934,0,"(2, 2)",,,0,False,,
v0_13,10.0,80000,3,118747043,331,48000,0,0,0,0,10,0,100.0,272,"(3, 3)",0.0,True,False,5,2247,2451,32382,4,4.0,12333,1212,6,392,18127,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(15, 16)|(16, 3)|(11, 5)",2826,876,0,"(16, 9)",18127,20640,251,True,61873,2513
v0_13,10.0,80000,4,1786285173,331,48000,0,0,0,0,4,0,40.0,226,"(3, 3)",0.0,True,False,0,,,,0,0.0,10818,5023,6,352,30052,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(11, 5)|(3, 3)|(15, 16)",3426,625,0,"(14, 1)",30052,30470,350,True,49948,418
v0_13,10.0,80000,5,1405678542,331,48000,0,0,0,0,6,0,60.0,203,"(3, 3)",0.0,True,False,4,1576,2687,37955,3,3.0,15944,5150,5,496,47249,"(4, 15)","(4, 15)|(15, 16)|(3, 3)|(9, 10)|(11, 5)",1629,0,0,"(11, 11)",,,0,False,,
v0_13,10.0,80000,6,925733024,331,48000,0,0,0,0,7,1,80.0,316,"(3, 3)",0.0,True,False,5,1752,7209,70178,4,4.0,14546,4537,6,406,17869,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(16, 3)|(11, 5)|(3, 3)",2556,128,0,"(2, 12)",17869,18379,320,True,62131,510
v0_13,10.0,80000,7,545126393,331,48000,0,0,0,0,7,0,70.0,253,"(3, 3)",0.0,True,False,5,1556,1687,18699,4,4.0,13414,711,6,562,10118,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(11, 5)|(3, 3)|(16, 3)",1629,25,0,"(15, 5)",10118,10163,29,True,69882,45
v0_13,10.0,80000,8,65180875,331,48000,0,0,0,0,8,0,80.0,228,"(3, 3)",0.0,True,False,2,7926,9319,9319,1,1.0,4453,357,5,346,6362,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(9, 10)|(16, 3)",2432,63,0,"(18, 4)",,,0,False,,
v0_13,10.0,80000,9,1832057892,331,48000,0,0,0,0,4,0,40.0,230,"(3, 3)",0.0,True,False,0,,,,0,0.0,12838,5013,6,382,8511,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(11, 5)|(16, 3)|(3, 3)",2618,13,0,"(12, 15)",8511,,0,False,71489,
v0_13,0.1,160000,0,202358875,331,96000,0,0,0,0,7,0,0.7,452,"(3, 3)",0.0,True,False,5,369,503,27568,4,4.0,21636,21189,6,548,38670,"(9, 10)","(9, 10)|(4, 15)|(3, 3)|(15, 16)|(11, 5)|(16, 3)",5483,1086,0,"(10, 8)",38670,41451,782,True,121330,2781
v0_13,0.1,160000,1,1869897005,331,96000,0,0,0,0,8,0,0.7999999999999999,408,"(3, 3)",0.0,True,False,5,9105,45964,82731,4,4.0,20081,420,6,354,39995,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(16, 3)|(3, 3)|(11, 5)",5191,164,0,"(17, 11)",39995,41059,667,True,120005,1064
v0_13,0.1,160000,2,1489290374,331,96000,0,0,0,0,7,0,0.7,454,"(3, 3)",0.0,True,False,5,1668,2985,85105,4,4.0,15064,25464,6,396,107605,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(11, 5)|(16, 3)|(3, 3)",3891,539,0,"(12, 13)",107605,115566,11,True,52395,7961
v0_13,0.1,160000,3,1108683743,331,96000,0,0,0,0,7,0,0.7,455,"(3, 3)",0.0,True,False,5,2041,2144,5253,4,4.0,19633,2853,6,2228,55496,"(9, 10)","(9, 10)|(11, 5)|(16, 3)|(3, 3)|(4, 15)|(15, 16)",3024,418,0,"(16, 7)",55496,64360,5,True,104504,8864
v0_13,0.1,160000,4,628738225,331,96000,0,0,0,0,8,2,0.9999999999999999,481,"(3, 3)",0.0,True,False,5,31118,31119,143591,4,4.0,21552,8003,6,1256,4580,"(9, 10)","(9, 10)|(16, 3)|(11, 5)|(3, 3)|(4, 15)|(15, 16)",4007,1087,0,"(7, 4)",4580,7646,258,True,155420,3066
v0_13,0.1,160000,5,248131594,331,96000,0,0,0,0,9,0,0.8999999999999999,441,"(3, 3)",0.0,True,False,5,1436,1437,20761,4,4.0,20596,1983,6,1088,19209,"(4, 15)","(4, 15)|(15, 16)|(16, 3)|(11, 5)|(9, 10)|(3, 3)",5288,347,0,"(7, 18)",19209,21618,393,True,140791,2409
v0_13,0.1,160000,6,1915669724,331,96000,0,0,0,0,9,0,0.8999999999999999,396,"(3, 3)",0.0,True,False,5,3266,6537,44901,4,4.0,21206,699,6,578,44844,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(16, 3)|(15, 16)",3847,90,0,"(15, 2)",44844,45654,990,True,115156,810
v0_13,0.1,160000,7,1535063093,331,96000,0,0,0,0,10,0,0.9999999999999999,401,"(3, 3)",0.0,True,False,4,16945,45312,75922,3,3.0,18785,312,5,340,33357,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(16, 3)|(11, 5)",2192,52,0,"(9, 4)",,,0,False,,
v0_13,0.1,160000,8,1154456462,331,96000,0,0,0,0,8,0,0.7999999999999999,441,"(3, 3)",0.0,True,False,5,976,5085,61223,4,4.0,10938,5127,6,404,61228,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(3, 3)|(16, 3)|(15, 16)",6394,2090,0,"(9, 13)",61228,64617,4,True,98772,3389
v0_13,0.1,160000,9,674510944,331,96000,0,0,0,0,9,0,0.8999999999999999,428,"(3, 3)",0.0,True,False,5,10776,17077,63229,4,4.0,21671,8143,6,1076,6478,"(15, 16)","(15, 16)|(9, 10)|(11, 5)|(16, 3)|(3, 3)|(4, 15)",4196,572,0,"(13, 13)",6478,10771,27,True,153522,4293
v0_13,0.5,160000,0,749409430,331,96000,0,0,0,0,11,0,5.5,403,"(3, 3)",0.0,True,False,4,5473,5474,72388,3,3.0,20678,1463,6,374,9807,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)|(3, 3)",3703,59,0,"(8, 16)",9807,,0,False,150193,
v0_13,0.5,160000,1,269463912,331,96000,0,0,0,0,9,0,4.5,416,"(3, 3)",0.0,True,False,5,2783,3275,28945,4,4.0,17563,3033,6,472,28708,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(3, 3)|(15, 16)",5746,1398,0,"(12, 10)",28708,29131,756,True,131292,423
v0_13,0.5,160000,2,2036340929,331,96000,0,0,0,0,13,0,6.5,428,"(3, 3)",0.0,True,False,4,16249,45716,75791,3,3.0,14759,59735,6,390,51397,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)|(3, 3)",4246,22,0,"(15, 15)",51397,97367,98,True,108603,45970
v0_13,0.5,160000,3,1655734298,331,96000,0,0,0,0,9,0,4.5,419,"(3, 3)",0.0,True,False,5,5685,6615,58592,4,4.0,18139,2891,4,366,22592,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(15, 16)",2464,128,0,"(6, 18)",,,0,False,,
v0_13,0.5,160000,4,1175788780,331,96000,0,0,0,0,12,0,6.0,399,"(3, 3)",0.0,True,False,4,58212,62265,73629,3,3.0,15657,4446,6,1420,13572,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(15, 16)|(3, 3)|(16, 3)",5497,900,0,"(9, 8)",13572,19870,1140,True,146428,6298
v0_13,0.5,160000,5,795182149,331,96000,0,0,0,0,10,0,5.0,412,"(3, 3)",0.0,True,False,5,8881,24711,92516,4,4.0,25964,19836,6,504,91716,"(9, 10)","(9, 10)|(4, 15)|(15, 16)|(3, 3)|(11, 5)|(16, 3)",6891,999,0,"(10, 8)",91716,92605,3,True,68284,889
v0_13,0.5,160000,6,315236631,331,96000,0,0,0,0,8,0,4.0,447,"(3, 3)",0.0,True,False,5,996,1007,57704,4,4.0,15659,2902,6,390,9300,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(16, 3)|(15, 16)",5235,955,0,"(10, 13)",9300,9418,892,True,150700,118
v0_13,0.5,160000,7,2082113648,331,96000,0,0,0,0,8,0,4.0,436,"(3, 3)",0.0,True,False,5,1064,1471,53583,4,4.0,25197,901,6,356,29902,"(4, 15)","(4, 15)|(3, 3)|(16, 3)|(11, 5)|(9, 10)|(15, 16)",3391,121,0,"(3, 15)",29902,33681,153,True,130098,3779
v0_13,0.5,160000,8,1602168130,331,96000,0,0,0,0,10,0,5.0,409,"(3, 3)",0.0,True,False,5,32235,32407,74814,4,4.0,16358,550,5,448,3860,"(15, 16)","(15, 16)|(16, 3)|(11, 5)|(3, 3)|(9, 10)",4805,667,0,"(5, 11)",,,0,False,,
v0_13,0.5,160000,9,1221561499,331,96000,0,0,0,0,8,0,4.0,414,"(3, 3)",0.0,True,False,4,4231,8804,21830,3,3.0,23133,9569,6,918,8947,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)|(3, 3)",3673,6,0,"(5, 15)",8947,14761,1194,True,151053,5814
v0_13,1.0,160000,0,496635339,331,96000,0,0,0,0,11,0,11.0,436,"(3, 3)",0.0,True,False,5,23345,51207,79268,4,4.0,15258,1605,6,420,7597,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(11, 5)|(16, 3)|(3, 3)",3450,40,0,"(7, 15)",7597,18739,1255,True,152403,11142
v0_13,1.0,160000,1,16689821,331,96000,0,0,0,0,8,0,8.0,411,"(3, 3)",0.0,True,False,5,19218,31539,87932,4,4.0,12404,8471,5,366,42483,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(11, 5)|(3, 3)",3111,130,0,"(6, 9)",,,0,False,,
v0_13,1.0,160000,2,1783566838,331,96000,0,0,0,0,9,0,9.0,411,"(3, 3)",0.0,True,False,5,2680,12738,66467,4,4.0,19028,3259,6,380,19490,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(3, 3)|(11, 5)|(16, 3)",4100,28,0,"(3, 10)",19490,24876,8,True,140510,5386
v0_13,1.0,160000,3,1303621320,331,96000,0,0,0,0,8,0,8.0,417,"(3, 3)",0.0,True,False,5,8921,23354,88327,4,4.0,26020,3034,6,1588,32274,"(4, 15)","(4, 15)|(15, 16)|(11, 5)|(9, 10)|(3, 3)|(16, 3)",5033,777,0,"(9, 2)",32274,34608,2,True,127726,2334
v0_13,1.0,160000,4,923014689,331,96000,0,0,0,0,14,0,14.0,421,"(3, 3)",0.0,True,False,5,3641,3654,70941,4,4.0,20051,399,6,482,6859,"(4, 15)","(4, 15)|(15, 16)|(16, 3)|(11, 5)|(9, 10)|(3, 3)",4488,774,0,"(13, 11)",6859,10949,1427,True,153141,4090
v0_13,1.0,160000,5,542408058,331,96000,0,0,0,0,11,0,11.0,396,"(3, 3)",0.0,True,False,5,1331,2705,7715,4,4.0,21898,3070,5,372,26467,"(9, 10)","(9, 10)|(11, 5)|(16, 3)|(15, 16)|(3, 3)",5908,759,0,"(4, 16)",,,0,False,,
v0_13,1.0,160000,6,62462540,331,96000,0,0,0,0,7,0,7.0,423,"(3, 3)",0.0,True,False,5,12339,12645,49126,4,4.0,23442,2542,6,342,16288,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(16, 3)|(15, 16)",4272,52,0,"(18, 2)",16288,17893,338,True,143712,1605
v0_13,1.0,160000,7,1829339557,331,96000,0,0,0,0,9,0,9.0,430,"(3, 3)",0.0,True,False,4,1431,2291,87692,3,3.0,19800,14899,6,504,18943,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)|(3, 3)",4325,367,0,"(5, 16)",18943,19288,6,True,141057,345
v0_13,1.0,160000,8,1349394039,331,96000,0,0,0,0,7,0,7.0,414,"(3, 3)",0.0,True,False,5,1045,4164,59928,4,4.0,13947,906,6,376,4176,"(4, 15)","(4, 15)|(3, 3)|(16, 3)|(11, 5)|(9, 10)|(15, 16)",3558,9,0,"(16, 11)",4176,5636,62,True,155824,1460
v0_13,1.0,160000,9,968787408,331,96000,0,0,0,0,9,0,9.0,429,"(3, 3)",0.0,True,False,5,11548,14661,53323,4,4.0,17225,31379,6,348,53055,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(15, 16)|(16, 3)|(11, 5)",4969,64,0,"(18, 1)",53055,58996,4,True,106945,5941
v0_13,2.0,160000,0,271697600,331,96000,0,0,0,0,9,0,18.0,431,"(3, 3)",0.0,True,False,5,1739,1777,22275,4,4.0,19544,16252,6,666,22306,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(3, 3)|(16, 3)|(15, 16)",4339,352,0,"(10, 2)",22306,31007,740,True,137694,8701
v0_13,2.0,160000,1,1939235730,331,96000,0,0,0,0,4,2,12.0,428,"(3, 3)",0.0,True,False,4,7673,13758,98315,3,3.0,23109,501,5,892,41246,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(11, 5)|(16, 3)",2914,62,0,"(1, 17)",,,0,False,,
v0_13,2.0,160000,2,1558629099,331,96000,0,0,0,0,8,0,16.0,431,"(3, 3)",0.0,True,False,5,2235,2242,11298,4,4.0,23825,6172,5,922,41485,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(16, 3)|(11, 5)",4248,634,0,"(14, 17)",,,0,False,,
v0_13,2.0,160000,3,1178022468,331,96000,0,0,0,0,8,0,16.0,428,"(3, 3)",0.0,True,False,5,1803,1804,11021,4,4.0,22616,9553,6,380,11026,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(9, 10)|(16, 3)|(15, 16)",4181,386,0,"(1, 9)",11026,16019,29,True,148974,4993
v0_13,2.0,160000,4,698076950,331,96000,0,0,0,0,7,0,14.0,426,"(3, 3)",0.0,True,False,5,2116,5623,75901,4,4.0,15180,3192,6,492,50067,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)|(3, 3)",4535,226,0,"(18, 2)",50067,,0,False,109933,
v0_13,2.0,160000,5,317470319,331,96000,0,0,0,0,7,0,14.0,448,"(3, 3)",0.0,True,False,4,1027,7889,11718,3,3.0,17627,2099,6,420,83698,"(4, 15)","(4, 15)|(16, 3)|(15, 16)|(11, 5)|(3, 3)|(9, 10)",4637,93,0,"(5, 16)",83698,91938,3,True,76302,8240
v0_13,2.0,160000,6,1985008449,331,96000,0,0,0,0,8,0,16.0,463,"(3, 3)",0.0,True,False,5,626,5267,67264,4,4.0,26060,5940,6,818,93151,"(15, 16)","(15, 16)|(9, 10)|(11, 5)|(16, 3)|(4, 15)|(3, 3)",4843,1705,0,"(2, 2)",93151,93153,40,True,66849,2
v0_13,2.0,160000,7,1604401818,331,96000,0,0,0,0,10,0,20.0,428,"(3, 3)",0.0,True,False,5,5968,15713,73794,4,4.0,20398,311,5,966,44038,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(11, 5)|(16, 3)",4302,3,0,"(15, 7)",,,0,False,,
v0_13,2.0,160000,8,1124456300,331,96000,0,0,0,0,10,0,20.0,435,"(3, 3)",0.0,True,False,5,8589,12531,47970,4,4.0,14432,27736,6,414,47983,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(16, 3)|(11, 5)|(3, 3)",4524,1595,0,"(17, 14)",47983,94598,1,True,112017,46615
v0_13,2.0,160000,9,743849669,331,96000,0,0,0,0,9,0,18.0,389,"(3, 3)",0.0,True,False,2,82533,90204,90204,1,1.0,24796,2433,6,860,52202,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(16, 3)|(15, 16)|(9, 10)",4236,42,0,"(6, 12)",52202,,0,False,107798,
v0_13,5.0,160000,0,853186608,331,96000,0,0,0,0,7,0,35.0,418,"(3, 3)",0.0,True,False,2,7730,7987,7987,1,1.0,15546,7192,5,368,8014,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)",3792,551,0,"(5, 12)",,,0,False,,
v0_13,5.0,160000,1,472579977,331,96000,0,0,0,0,10,0,50.0,427,"(3, 3)",0.0,True,False,5,24933,25312,40542,4,4.0,19050,2958,6,464,44526,"(9, 10)","(9, 10)|(3, 3)|(11, 5)|(16, 3)|(15, 16)|(4, 15)",4210,22,0,"(3, 10)",44526,44700,2596,True,115474,174
v0_13,5.0,160000,2,2140118107,331,96000,0,0,0,0,7,0,35.0,450,"(3, 3)",0.0,True,False,5,8562,18643,23661,4,4.0,18206,8795,6,476,12819,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(11, 5)|(15, 16)|(3, 3)",3122,34,0,"(4, 2)",12819,12821,84,True,147181,2
v0_13,5.0,160000,3,1759511476,331,96000,0,0,0,0,10,0,50.0,427,"(3, 3)",0.0,True,False,5,10455,17869,55940,4,4.0,21751,4653,6,362,7990,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(15, 16)|(3, 3)|(16, 3)",3524,0,0,"(2, 3)",7990,18012,524,True,152010,10022
v0_13,5.0,160000,4,1378904845,331,96000,0,0,0,0,9,0,45.0,421,"(3, 3)",0.0,True,False,5,12181,12951,75858,4,4.0,23005,14032,6,835,17005,"(11, 5)","(11, 5)|(16, 3)|(15, 16)|(9, 10)|(4, 15)|(3, 3)",3882,291,0,"(17, 5)",17005,18721,511,True,142995,1716
v0_13,5.0,160000,5,898959327,331,96000,0,0,0,0,10,0,50.0,488,"(3, 3)",0.0,True,False,5,3253,3336,77134,4,4.0,17313,6516,6,398,14736,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(3, 3)|(15, 16)|(16, 3)",4791,1377,0,"(11, 10)",14736,17004,225,True,145264,2268
v0_13,5.0,160000,6,518352696,331,96000,0,0,0,0,9,0,45.0,418,"(3, 3)",0.0,True,False,5,14172,15135,30533,4,4.0,19969,57426,6,638,4506,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(9, 10)|(16, 3)|(15, 16)",4183,392,0,"(16, 15)",4506,17314,1045,True,155494,12808
v0_13,5.0,160000,7,38407178,331,96000,0,0,0,0,7,0,35.0,445,"(3, 3)",0.0,True,False,5,1783,3426,20910,4,4.0,25543,15534,5,658,92831,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(11, 5)|(3, 3)",3410,781,0,"(15, 17)",,,0,False,,
v0_13,5.0,160000,8,1805284195,331,96000,0,0,0,0,10,0,50.0,440,"(3, 3)",0.0,True,False,4,14675,16294,22368,3,3.0,13863,7323,6,348,58812,"(4, 15)","(4, 15)|(15, 16)|(11, 5)|(3, 3)|(16, 3)|(9, 10)",6107,917,0,"(13, 16)",58812,62150,47,True,101188,3338
v0_13,5.0,160000,9,1325338677,331,96000,0,0,0,0,9,0,45.0,402,"(3, 3)",0.0,True,False,4,6963,9657,48959,3,3.0,11622,4238,6,384,69200,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(11, 5)|(3, 3)|(16, 3)",4254,25,0,"(14, 4)",69200,69349,24,True,90800,149
