arch,run_idx,seed,hazard_cost,num_steps,object_id,closest_approach_step,closest_approach_distance,phase_at_approach,goal_relevant,pre_threshold_entries
,,,,,haz_unaff_1,568646,4.582576,2,False,0
,,,,,haz_yellow,568913,1.414214,2,True,1
,,,,,haz_blue,569212,5.196152,2,False,0
,,,,,haz_unaff_2,569212,5.656854,2,False,0
,,,,,haz_unaff_0,568912,4.123106,2,False,0
,,,,,haz_green,569470,7.483315,2,False,0
,,,,,haz_yellow,569470,2.44949,2,True,1
,,,,,dist_yellow,569247,1.732051,2,True,0
,,,,,dist_yellow,570871,2.828427,2,True,0
,,,,,haz_unaff_1,571274,5.0,2,False,0
,,,,,haz_yellow,571321,3.0,2,True,1
,,,,,haz_blue,571432,5.744563,2,False,0
,,,,,haz_unaff_0,571457,4.242641,2,False,0
,,,,,haz_green,571458,7.874008,2,False,0
,,,,,haz_unaff_2,571711,5.744563,2,False,0
,,,,,haz_green,572969,7.874008,2,False,0
,,,,,haz_unaff_1,573226,2.44949,2,False,0
,,,,,haz_unaff_0,573226,2.236068,2,False,0
,,,,,haz_yellow,573226,2.44949,2,True,1
,,,,,haz_blue,573470,5.196152,2,False,0
,,,,,dist_yellow,573678,2.236068,2,True,0
,,,,,haz_green,574172,8.306624,2,False,0
,,,,,haz_blue,574298,5.196152,2,False,0
,,,,,haz_unaff_1,573936,4.472136,2,False,0
,,,,,dist_yellow,575944,2.44949,2,True,0
,,,,,haz_blue,575944,4.242641,2,False,0
,,,,,haz_unaff_2,575944,5.0,2,False,0
,,,,,dist_yellow,576050,2.236068,2,True,0
,,,,,haz_unaff_2,576450,5.656854,2,False,0
,,,,,haz_unaff_0,577103,4.242641,2,False,0
,,,,,haz_yellow,577190,2.44949,2,True,1
,,,,,dist_yellow,577296,2.236068,2,True,0
,,,,,haz_green,577584,5.91608,2,False,0
,,,,,haz_unaff_1,577584,3.0,2,False,0
,,,,,haz_blue,577584,5.09902,2,False,0
,,,,,haz_unaff_2,577584,5.385165,2,False,0
,,,,,haz_green,578324,8.185353,2,False,0
,,,,,haz_blue,578113,5.196152,2,False,0
,,,,,haz_unaff_2,578113,5.656854,2,False,0
,,,,,haz_unaff_0,578173,4.242641,2,False,0
